Age_Group,Gender,Account Type,Balance_Bucket,Transaction_Size,Transaction Type,Loan_Size,Loan Type,Loan Status,Rate_Category,Card Type,CC_Utilization_Category,Feedback Type,Resolution Status
Established,Male,Current,Below-Minimum,Large,Withdrawal,Large,Mortgage,Rejected,Low,AMEX,Over-Limit,Suggestion,Resolved
Established,Female,Current,Comfortable,Large,Deposit,Very Large,Auto,Approved,Low,MasterCard,Moderate,Complaint,Resolved
Early Career,Female,Current,Comfortable,Everyday,Deposit,Very Large,Auto,Closed,High,AMEX,Moderate,Praise,Pending
Pre-Retirement,Other,Savings,Comfortable,Very Large,Withdrawal,Small,Personal,Approved,High,MasterCard,Over-Limit,Complaint,Resolved
Senior,Other,Savings,Comfortable,Everyday,Transfer,Small,Mortgage,Approved,Moderate,Visa,Low,Complaint,Resolved
Pre-Retirement,Male,Savings,Comfortable,Very Large,Withdrawal,Very Large,Mortgage,Closed,Low,AMEX,Low,Praise,Resolved
Established,Male,Current,Mass-Market,Very Large,Deposit,Large,Mortgage,Approved,Moderate,MasterCard,Moderate,Complaint,Pending
Established,Male,Savings,Below-Minimum,Everyday,Deposit,Very Large,Mortgage,Approved,High,AMEX,High,Complaint,Pending
Pre-Retirement,Male,Current,Below-Minimum,Everyday,Withdrawal,Very Large,Mortgage,Rejected,Low,AMEX,High,Suggestion,Pending
Pre-Retirement,Other,Current,Comfortable,Large,Deposit,Large,Auto,Closed,Low,Visa,Moderate,Complaint,Resolved
Early Career,Male,Savings,Comfortable,Large,Withdrawal,Large,Personal,Rejected,High,Visa,High,Complaint,Pending
Established,Female,Current,Comfortable,Very Large,Deposit,Medium,Auto,Approved,Moderate,AMEX,High,Complaint,Pending
Pre-Retirement,Female,Savings,Comfortable,Very Large,Deposit,Very Large,Auto,Approved,Moderate,Visa,Low,Praise,Resolved
Established,Female,Savings,Mass-Market,Everyday,Transfer,Large,Auto,Approved,High,Visa,Over-Limit,Praise,Resolved
Pre-Retirement,Other,Savings,Mass-Market,Large,Withdrawal,Medium,Mortgage,Closed,Low,AMEX,Moderate,Suggestion,Pending
Early Career,Male,Savings,Comfortable,Very Large,Transfer,Large,Mortgage,Approved,Low,Visa,Low,Complaint,Pending
Senior,Female,Current,Below-Minimum,Large,Transfer,Medium,Auto,Rejected,Low,AMEX,Over-Limit,Suggestion,Pending
Established,Female,Savings,Comfortable,Very Large,Deposit,Medium,Auto,Closed,Low,MasterCard,Moderate,Praise,Resolved
Young Adult,Other,Current,Mass-Market,Very Large,Withdrawal,Medium,Personal,Rejected,Low,AMEX,Low,Praise,Resolved
Senior,Other,Savings,Below-Minimum,Everyday,Deposit,Large,Mortgage,Closed,High,MasterCard,Low,Praise,Pending
Pre-Retirement,Other,Savings,Below-Minimum,Very Large,Withdrawal,Large,Personal,Closed,Low,MasterCard,Over-Limit,Complaint,Pending
Senior,Female,Current,Comfortable,Large,Transfer,Very Large,Personal,Rejected,Low,MasterCard,Low,Complaint,Pending
Young Adult,Other,Savings,Below-Minimum,Everyday,Deposit,Medium,Mortgage,Closed,Low,Visa,Low,Complaint,Resolved
Early Career,Female,Savings,Mass-Market,Very Large,Deposit,Very Large,Personal,Rejected,Low,AMEX,Moderate,Suggestion,Resolved
Early Career,Male,Savings,Mass-Market,Large,Transfer,Large,Mortgage,Rejected,Low,AMEX,Over-Limit,Praise,Resolved
Young Adult,Female,Current,Below-Minimum,Everyday,Transfer,Medium,Personal,Approved,Low,Visa,High,Complaint,Pending
Senior,Male,Savings,Comfortable,Large,Withdrawal,Large,Personal,Approved,Moderate,AMEX,Low,Suggestion,Pending
Pre-Retirement,Female,Savings,Comfortable,Large,Deposit,Very Large,Mortgage,Approved,Moderate,AMEX,Low,Complaint,Pending
Established,Male,Savings,Comfortable,Large,Transfer,Large,Auto,Rejected,Low,AMEX,Moderate,Suggestion,Pending
Established,Female,Current,Mass-Market,Large,Withdrawal,Very Large,Auto,Closed,Moderate,Visa,Moderate,Suggestion,Resolved
Pre-Retirement,Female,Current,Comfortable,Large,Withdrawal,Medium,Auto,Approved,Low,AMEX,Moderate,Praise,Pending
Senior,Female,Current,Mass-Market,Everyday,Transfer,Very Large,Auto,Closed,Moderate,Visa,Over-Limit,Praise,Resolved
Senior,Female,Current,Mass-Market,Large,Deposit,Large,Mortgage,Closed,Low,MasterCard,Moderate,Complaint,Resolved
Pre-Retirement,Other,Savings,Comfortable,Very Large,Transfer,Very Large,Personal,Rejected,Moderate,Visa,Low,Complaint,Resolved
Pre-Retirement,Female,Current,Mass-Market,Large,Transfer,Very Large,Mortgage,Closed,Moderate,AMEX,Low,Praise,Resolved
Established,Female,Current,Comfortable,Very Large,Withdrawal,Large,Mortgage,Rejected,Low,Visa,Moderate,Complaint,Pending
Early Career,Other,Current,Comfortable,Large,Withdrawal,Large,Mortgage,Rejected,Low,MasterCard,Over-Limit,Suggestion,Resolved
Early Career,Other,Current,Below-Minimum,Large,Withdrawal,Medium,Personal,Rejected,Low,AMEX,Low,Praise,Resolved
Established,Other,Savings,Comfortable,Large,Transfer,Large,Auto,Rejected,Moderate,AMEX,Over-Limit,Praise,Resolved
Pre-Retirement,Other,Savings,Comfortable,Large,Withdrawal,Large,Mortgage,Rejected,High,MasterCard,Low,Praise,Resolved
Pre-Retirement,Other,Current,Mass-Market,Everyday,Transfer,Medium,Mortgage,Rejected,High,Visa,Low,Complaint,Pending
Senior,Other,Current,Mass-Market,Everyday,Transfer,Large,Personal,Closed,Moderate,MasterCard,Low,Complaint,Pending
Young Adult,Other,Current,Mass-Market,Very Large,Withdrawal,Very Large,Personal,Approved,High,AMEX,Low,Praise,Resolved
Young Adult,Other,Current,Comfortable,Everyday,Transfer,Small,Mortgage,Approved,High,MasterCard,Moderate,Complaint,Resolved
