Rank,Antecedent (IF),Consequent (THEN),Support,Confidence,Lift
1,"CC_Utilization_Category=Moderate, Loan Status=Approved, Loan_Size=Large, Resolution Status=Pending",Transaction Type=Deposit,0.0114,0.5644,1.6618
2,"Card Type=AMEX, Feedback Type=Complaint, Loan Type=Mortgage, Resolution Status=Pending",Transaction Type=Deposit,0.01,0.5495,1.6179
3,"Account Type=Current, Feedback Type=Praise, Loan Type=Personal, Transaction Type=Transfer",Rate_Category=High,0.0104,0.5474,1.6175
4,"Card Type=AMEX, Gender=Male, Loan_Size=Very Large, Resolution Status=Pending",Rate_Category=Moderate,0.01,0.5263,1.6174
5,"Account Type=Savings, Balance_Bucket=Mass-Market, Card Type=Visa, Loan Status=Approved",Rate_Category=High,0.011,0.5392,1.5934
6,"Age_Group=Early Career, CC_Utilization_Category=Moderate, Loan_Size=Medium",Transaction Type=Transfer,0.0114,0.5135,1.5762
7,"Account Type=Current, Balance_Bucket=Mass-Market, Feedback Type=Praise, Loan Type=Personal",Rate_Category=High,0.01,0.5319,1.5719
8,"Account Type=Current, Gender=Female, Rate_Category=High, Transaction Type=Withdrawal",Card Type=MasterCard,0.0116,0.5321,1.5687
9,"Age_Group=Pre-Retirement, CC_Utilization_Category=Low, Gender=Other, Resolution Status=Resolved",Transaction_Size=Very Large,0.0104,0.619,1.5633
10,"CC_Utilization_Category=Low, Loan Status=Closed, Resolution Status=Resolved, Transaction Type=Transfer",Loan Type=Mortgage,0.01,0.5319,1.5535
11,"Account Type=Current, Gender=Female, Loan_Size=Medium, Transaction_Size=Large",Loan Status=Approved,0.011,0.5288,1.5463
12,"Account Type=Savings, Balance_Bucket=Mass-Market, Loan Status=Approved, Rate_Category=High",Card Type=Visa,0.011,0.5,1.5385
13,"CC_Utilization_Category=Low, Loan Status=Approved, Rate_Category=Moderate, Resolution Status=Resolved",Transaction Type=Deposit,0.01,0.5208,1.5337
14,"Account Type=Savings, CC_Utilization_Category=Moderate, Loan_Size=Very Large, Transaction Type=Deposit",Card Type=AMEX,0.0106,0.5146,1.5323
15,"Age_Group=Pre-Retirement, Card Type=MasterCard, Resolution Status=Pending, Transaction_Size=Large",Balance_Bucket=Mass-Market,0.01,0.5263,1.5291
16,"CC_Utilization_Category=Moderate, Loan Status=Approved, Rate_Category=Low, Resolution Status=Pending",Transaction Type=Deposit,0.0108,0.5192,1.5289
17,"Age_Group=Established, Card Type=MasterCard, Rate_Category=High, Transaction_Size=Very Large",Account Type=Current,0.0108,0.7606,1.5254
18,"Account Type=Current, Card Type=MasterCard, Rate_Category=High, Transaction Type=Transfer",Gender=Other,0.01,0.5,1.5253
19,"Age_Group=Pre-Retirement, Balance_Bucket=Mass-Market, Resolution Status=Resolved, Transaction_Size=Very Large",Loan Status=Closed,0.011,0.5046,1.5198
20,"Account Type=Current, Loan_Size=Medium, Transaction Type=Deposit, Transaction_Size=Large",Loan Status=Approved,0.0112,0.5185,1.5161
21,"CC_Utilization_Category=Moderate, Gender=Female, Resolution Status=Resolved, Transaction Type=Deposit",Feedback Type=Complaint,0.011,0.5093,1.5148
22,"Account Type=Current, Card Type=MasterCard, Gender=Other, Transaction Type=Transfer",Rate_Category=High,0.01,0.5102,1.5077
23,"Loan Status=Approved, Resolution Status=Pending, Transaction Type=Transfer, Transaction_Size=Very Large",Feedback Type=Suggestion,0.0112,0.5091,1.5071
24,"Feedback Type=Praise, Loan Status=Approved, Resolution Status=Resolved, Transaction Type=Transfer",Card Type=AMEX,0.0102,0.505,1.5037
25,"Loan Type=Auto, Rate_Category=Low, Resolution Status=Resolved, Transaction Type=Withdrawal",Feedback Type=Complaint,0.01,0.5051,1.5022
26,"Account Type=Current, Card Type=Visa, Loan_Size=Large, Transaction_Size=Very Large",Rate_Category=Low,0.0108,0.5047,1.5011
27,"Account Type=Current, CC_Utilization_Category=Low, Transaction Type=Withdrawal, Transaction_Size=Large",Feedback Type=Suggestion,0.01,0.5051,1.4951
28,"Account Type=Current, Card Type=MasterCard, Feedback Type=Suggestion, Loan_Size=Very Large",CC_Utilization_Category=Low,0.0102,0.505,1.4931
29,"Gender=Other, Loan Status=Rejected, Resolution Status=Pending, Transaction_Size=Large",Rate_Category=High,0.0104,0.5049,1.4919
30,"Balance_Bucket=Comfortable, Card Type=AMEX, Feedback Type=Complaint, Loan_Size=Large",Rate_Category=High,0.0104,0.5049,1.4919
31,"Account Type=Current, Feedback Type=Praise, Gender=Other, Transaction Type=Transfer",Rate_Category=High,0.0106,0.5048,1.4916
32,"Account Type=Savings, Gender=Other, Loan Status=Rejected, Transaction Type=Withdrawal",Transaction_Size=Large,0.0106,0.6023,1.4893
33,"Account Type=Current, CC_Utilization_Category=Moderate, Card Type=MasterCard, Loan_Size=Very Large",Feedback Type=Complaint,0.0112,0.5,1.4872
34,"Balance_Bucket=Mass-Market, Card Type=AMEX, Resolution Status=Pending, Transaction Type=Deposit",CC_Utilization_Category=Moderate,0.0116,0.5631,1.4826
35,"Loan Status=Closed, Resolution Status=Pending, Transaction Type=Withdrawal, Transaction_Size=Large",Feedback Type=Suggestion,0.0104,0.5,1.4802
36,"Account Type=Current, Balance_Bucket=Mass-Market, Card Type=MasterCard, Loan Type=Auto",Feedback Type=Suggestion,0.011,0.5,1.4802
37,"Card Type=Visa, Rate_Category=High, Resolution Status=Resolved, Transaction_Size=Large",Balance_Bucket=Mass-Market,0.0108,0.5094,1.4801
38,"Account Type=Savings, CC_Utilization_Category=Moderate, Feedback Type=Complaint, Loan Status=Approved",Balance_Bucket=Mass-Market,0.0108,0.5094,1.4801
39,"Account Type=Savings, Card Type=Visa, Loan Status=Approved, Rate_Category=High",Balance_Bucket=Mass-Market,0.011,0.5093,1.4795
40,"Account Type=Savings, Card Type=Visa, Gender=Other, Resolution Status=Pending",Rate_Category=High,0.0128,0.5,1.4775
41,"Rate_Category=Moderate, Resolution Status=Pending, Transaction Type=Transfer, Transaction_Size=Very Large",Loan Status=Approved,0.01,0.5051,1.4768
42,"Account Type=Current, CC_Utilization_Category=Moderate, Feedback Type=Complaint, Loan_Size=Very Large",Card Type=MasterCard,0.0112,0.5,1.4741
43,"Loan Status=Closed, Loan_Size=Large, Resolution Status=Pending, Transaction Type=Transfer",Transaction_Size=Large,0.0106,0.5955,1.4726
44,"Card Type=AMEX, Loan Status=Approved, Rate_Category=Low, Resolution Status=Pending",Transaction Type=Deposit,0.0108,0.5,1.4723
45,"CC_Utilization_Category=Moderate, Card Type=MasterCard, Loan_Size=Large, Resolution Status=Resolved",Transaction_Size=Large,0.01,0.5952,1.4719
46,"CC_Utilization_Category=Low, Rate_Category=Moderate, Resolution Status=Resolved, Transaction Type=Deposit",Loan Status=Approved,0.01,0.5,1.462
47,"Card Type=AMEX, Rate_Category=Low, Resolution Status=Pending, Transaction Type=Deposit",Loan Status=Approved,0.0108,0.5,1.462
48,"Account Type=Current, Feedback Type=Suggestion, Gender=Female, Rate_Category=Low",Loan Status=Approved,0.0106,0.5,1.462
49,"Card Type=Visa, Gender=Male, Resolution Status=Resolved, Transaction_Size=Large",Balance_Bucket=Mass-Market,0.01,0.5,1.4526
50,"Card Type=Visa, Resolution Status=Resolved, Transaction Type=Deposit, Transaction_Size=Large",Balance_Bucket=Mass-Market,0.0108,0.5,1.4526
51,"Account Type=Savings, Age_Group=Established, Feedback Type=Praise, Resolution Status=Pending",Gender=Female,0.0102,0.5,1.4476
52,"Balance_Bucket=Comfortable, Feedback Type=Praise, Loan Status=Rejected, Rate_Category=Low",Gender=Female,0.0106,0.5,1.4476
53,"Account Type=Savings, Gender=Female, Loan Status=Closed, Loan Type=Personal",Transaction_Size=Large,0.0104,0.5843,1.4448
54,"CC_Utilization_Category=Low, Gender=Other, Rate_Category=High, Resolution Status=Resolved",Transaction_Size=Very Large,0.0112,0.5714,1.443
55,"Age_Group=Established, Loan Status=Closed, Resolution Status=Pending, Transaction Type=Transfer",Transaction_Size=Large,0.01,0.5814,1.4377
56,"Gender=Male, Resolution Status=Resolved, Transaction Type=Withdrawal, Transaction_Size=Large",CC_Utilization_Category=Moderate,0.0102,0.5426,1.4285
57,"Feedback Type=Suggestion, Loan Status=Approved, Resolution Status=Pending, Transaction Type=Transfer",Transaction_Size=Very Large,0.0112,0.5657,1.4284
58,"Gender=Other, Rate_Category=Low, Transaction Type=Withdrawal, Transaction_Size=Large",Resolution Status=Resolved,0.0124,0.7126,1.4276
59,"Card Type=Visa, Loan_Size=Large, Rate_Category=Low, Transaction_Size=Very Large",Account Type=Current,0.0108,0.7105,1.425
60,"Account Type=Savings, Age_Group=Pre-Retirement, Feedback Type=Praise, Loan Status=Rejected",Transaction_Size=Large,0.01,0.5747,1.4211
